P1376	capital_of
P512	academic_degree
P579	IMA_status_and/or_rank
P150	contains_the_administrative_territorial_entity
P190	twinned_administrative_body
P551	residence
P131	located_in_the_administrative_territorial_entity
P793	significant_event
P1435	heritage_designation
P39	position_held
P17	country
P54	member_of_sports_team
P31	instance_of
P6	head_of_government
P1411	nominated_for
P2962	title_of_chess_person
P463	member_of
P1346	winner
P108	employer
P69	educated_at
P166	award_received
P102	member_of_political_party
P27	country_of_citizenship
P26	spouse
